sentiment,month,trades,notional_sum,r_mean,pnl_mean,winrate
Extreme Fear,2024-08-01,38,113651.23,-0.00594957002278303,2.3270163684210527,0.21052631578947367
Extreme Fear,2024-09-01,32,25146.67,0.10887908660210333,20.280762875,0.46875
Extreme Fear,2025-03-01,2256,9441442.14,0.0018425343728552877,1.623459892287234,0.2916666666666667
Extreme Greed,2024-01-01,35,273340.71,0.003544912836268415,33.65453797142857,0.3142857142857143
Extreme Greed,2024-03-01,756,3526893.52,0.03462592413260385,53.843275982804236,0.421957671957672
Extreme Greed,2024-04-01,644,3377115.2399999998,0.10335886877524192,270.3683873245341,0.3307453416149068
Extreme Greed,2024-06-01,309,385111.46,-0.03035025986928301,0.7986374757281552,0.3592233009708738
Extreme Greed,2024-11-01,1685,4773006.81,0.1216927911465237,200.14659459406528,0.5922848664688427
Extreme Greed,2024-12-01,2192,5888292.53,0.21439127850129538,275.27336578284667,0.6651459854014599
Fear,2023-01-01,3,477.0,0.0,0.0,0.0
Fear,2024-05-01,72,770198.26,-0.0006308077590253504,-0.4646415833333337,0.19444444444444445
Fear,2024-07-01,962,2043339.3699999999,0.04818420082399727,104.4031762047817,0.41164241164241167
Fear,2024-08-01,606,2100219.32,0.029941400401212664,44.20783041089109,0.4158415841584158
Fear,2024-09-01,1003,3712213.9899999998,0.018493866348148594,35.057585472582254,0.36191425722831505
Fear,2024-10-01,272,1285370.8599999999,0.007929713937469626,31.91722407352941,0.4264705882352941
Fear,2025-02-01,532,6460848.74,0.02997459253962521,125.77879832330827,0.5018796992481203
Fear,2025-03-01,3862,30837491.75,0.060149671682556756,249.94416325789746,0.5217503883997928
Fear,2025-04-01,6557,32464231.77,0.012258161711759835,87.84357384825377,0.2854964160439225
Greed,2024-01-01,818,2723663.77,0.11019566871362797,69.47856673960881,0.5268948655256723
Greed,2024-02-01,583,2112819.91,0.0406452395190596,41.58009702915952,0.3910806174957118
Greed,2024-04-01,332,1673984.6,0.03650378477326003,83.73426428313253,0.8012048192771084
Greed,2024-05-01,766,3108353.58,0.058980396430070026,98.03011882898171,0.4660574412532637
Greed,2024-06-01,1755,12697651.56,0.02064007400870455,-46.973148437606845,0.2188034188034188
Greed,2024-08-01,10,26051.12,0.021876787200337006,77.07560240000001,0.4
Greed,2024-11-01,224,901761.1,0.017762709385062025,42.56072494642857,0.33035714285714285
Greed,2024-12-01,425,1419762.48,-0.027685038477448628,-43.27560493882353,0.12941176470588237
Greed,2025-01-01,2326,13334838.38,0.023227373482754415,36.84540657566638,0.47420464316423044
Greed,2025-02-01,2756,10303697.73,0.02787305077905481,135.62555139622643,0.5809143686502177
Greed,2025-05-01,1297,8743231.51,0.010304211212009197,43.721075992289904,0.3215111796453354
Neutral,2023-05-01,9,50005.83,0.0,0.0,0.0
Neutral,2024-05-01,256,2746380.21,0.028099053875412987,80.6001700546875,0.70703125
Neutral,2024-07-01,112,1055608.79,0.001162635210348969,-5.3074920982142855,0.09821428571428571
Neutral,2024-08-01,129,1522452.54,-0.0011082395253829789,-2.092049914728682,0.24806201550387597
Neutral,2024-10-01,2011,6113160.27,0.025780613809137563,25.708449844356043,0.5171556439582298
Neutral,2025-05-01,239,451943.57,0.02763871348555594,13.337737920502093,0.41841004184100417
Unknown,2025-05-01,2020,10461218.44,0.03701388374820411,151.10678397376236,0.7267326732673267
Unknown,2025-06-01,4084,13691612.88,0.01381663141685924,25.2258961701763,0.3846718903036239
Unknown,2025-07-01,7527,39087970.26,0.009996182683304792,29.66808310801116,0.3880696160488907
Unknown,2025-08-01,3086,13778485.06,0.01333231145151776,61.66687037070642,0.3833441348023331
Unknown,2025-09-01,6675,42918157.41,0.001659806974262061,39.01448098666667,0.4208239700374532
Unknown,2025-10-01,6746,55726152.09,0.008790150457920249,29.950105853691078,0.46531277794248443
Unknown,2025-11-01,5513,29791922.04,-0.0039865471751312385,8.289687241792127,0.22456013060039906
Unknown,2025-12-01,7710,80935190.35,0.019671710796077383,93.9191382079118,0.4880674448767834
